"","name","area"
"1","The Port",775439.557821875
"2","Riverside",889647.352450621
"3","Neighborhood Nine",1650824.11525877
"4","Area 2/MIT",1648406.87325239
"5","Cambridgeport",1468864.23479501
"6","Mid-Cambridge",1206037.95582511
"7","Wellington-Harrington",614118.075652739
"8","East Cambridge",1839217.058674
"9","Agassiz",762168.103423296
"10","Cambridge Highlands",1372361.25856572
"11","Strawberry Hill",758002.259710493
"12","West Cambridge",3186557.9931081
"13","North Cambridge",2287983.5859255
"14","Roslindale",6497954.01725276
"15","Jamaica Plain",10195715.307712
"16","Mission Hill",1419947.79705801
"17","Longwood",763335.465052852
"18","Bay Village",107409.855470977
"19","Leather District",63296.5398729878
"20","Chinatown",308893.880528968
"21","North End",513556.531965339
"22","Roxbury",8533243.51525626
"23","South End",1908360.42851346
"24","Back Bay",1616072.34979384
"25","East Boston",12206826.9583103
"26","Charlestown",3527219.38529974
"27","West End",770937.294869567
"28","Beacon Hill",810057.972178807
"29","Downtown",1608618.46361837
"30","Fenway",2268889.82102664
"31","Brighton",7448350.72009929
"32","West Roxbury",14231440.4054236
"33","Hyde Park",11846877.0889444
"34","Mattapan",5472128.213649
"35","Dorchester",18871292.8910723
"36","South Boston Waterfront",2516674.59707219
"37","South Boston",5827406.71577443
"38","Allston",4041183.08718183
"39","Harbor Islands",3338427.29739767
